,DatGeracaoConjuntoDados,SigTipoGeracao,QtdUsinasPeriodo,MdaPotenciaInstaladaKW,MesReferencia,AnoReferencia
467,2026-03-01,EOL,1136,34707153.86,12,2025
468,2026-03-01,CGH,703,908822.04,12,2025
469,2026-03-01,UFV,18689,20050696.57,12,2025
470,2026-03-01,PCH,429,6017129.57,12,2025
471,2026-03-01,UHE,215,103235221.0,12,2025
472,2026-03-01,UTE,3042,49026907.36,12,2025
473,2026-03-01,UTN,2,1990000.0,12,2025
474,2026-03-01,EOL,1111,33226453.86,3,2025
475,2026-03-01,CGH,689,873306.04,3,2025
476,2026-03-01,UFV,18546,17662506.89,3,2025
477,2026-03-01,PCH,427,5894594.17,3,2025
478,2026-03-01,UHE,214,103196493.0,3,2025
479,2026-03-01,UTE,3026,47061611.36,3,2025
480,2026-03-01,UTN,2,1990000.0,3,2025
481,2026-03-01,EOL,1121,33748653.86,6,2025
482,2026-03-01,CGH,697,894524.53,6,2025
483,2026-03-01,UFV,18586,17900866.57,6,2025
484,2026-03-01,PCH,426,5922039.57,6,2025
485,2026-03-01,UHE,214,103185223.0,6,2025
486,2026-03-01,UTE,3033,48885315.36,6,2025
487,2026-03-01,UTN,2,1990000.0,6,2025
488,2026-03-01,EOL,1132,34347153.86,9,2025
489,2026-03-01,CGH,702,901176.53,9,2025
490,2026-03-01,UFV,18630,18898471.57,9,2025
491,2026-03-01,PCH,429,5994639.57,9,2025
492,2026-03-01,UHE,215,103235221.0,9,2025
493,2026-03-01,UTE,3034,49357101.36,9,2025
494,2026-03-01,UTN,2,1990000.0,9,2025
