UF,Consumo
AC,0.002345374967604786
AL,0.009648462348315423
AM,0.014108092058438512
AP,0.0024998493432932378
BA,0.049164947552251995
CE,0.025508146326498792
DF,0.011607601446980515
ES,0.02292315028827182
GO,0.037233566628308616
MA,0.028924812624867156
MG,0.11995066759723368
MS,0.012110971369556117
MT,0.020642908372004883
PA,0.04571214475333739
PB,0.011959883508124282
PE,0.027397825546150768
PI,0.008887203830184832
PR,0.0711317855896355
RJ,0.06736786413997352
RN,0.010807426355788909
RO,0.007220419580807806
RR,0.002443896785795388
RS,0.059101377864369274
SC,0.05470342148476497
SE,0.007710429483422195
SP,0.2630821565908368
TO,0.005805613563182956
