UF,comercial,industrial,outros,residencial,rural
AC,0.2282630307395701,0.0432799581258076,0.2109562474568828,0.4678885771097106,0.0496121865680289
AL,0.1530689947407159,0.3876658200989867,0.1350642705134714,0.2847929512868543,0.0394079633599715
AM,0.2071700397767824,0.3050470730575532,0.1601149861008044,0.3170476407738208,0.0106202602910391
AP,0.233366223183505,0.0591718132824081,0.1799403509302263,0.5234277365356977,0.0040938760681627
BA,0.1399188638196093,0.416582389452271,0.1102713984812056,0.2622347754438022,0.0709925728031117
CE,0.1839819263392414,0.2280633641606142,0.1275996764843055,0.363300709339094,0.0970543236767447
DF,0.3056145984370004,0.1015877743572275,0.2085332732753573,0.3620506455510222,0.0222137083793924
ES,0.164136537729507,0.4410286279177258,0.0755303026770105,0.2316185351144596,0.0876859965612968
GO,0.152619560310191,0.3367447541147778,0.100045647883537,0.3120408019584526,0.0985492357330415
MA,0.1009067626721788,0.5027567979764332,0.0973698871355339,0.2784308549179309,0.0205356972979231
MG,0.1157286439297499,0.5693213901351114,0.0640231793773724,0.1913993087809767,0.0595274777767894
MS,0.1994626858308732,0.2438433254619074,0.1250131317072711,0.3330962196790003,0.0985846373209476
MT,0.189856481843972,0.2550425104714653,0.1071700153402226,0.3200781864866004,0.1278528058577393
PA,0.0917529755235609,0.6451493822177878,0.0713787056806743,0.1791404165588614,0.0125785200191155
PB,0.1644893598210537,0.2773324294737149,0.1459637997845306,0.3567012374169988,0.0555131735037017
PE,0.1965889877997414,0.2625067782855249,0.1414328488434396,0.3527549814038323,0.0467164036674617
PI,0.2095201901833732,0.0756742967113814,0.1822521907200809,0.477090778789155,0.0554625435960093
PR,0.1841787504021423,0.4073383505057484,0.0842128391269926,0.2409982452954348,0.0832718146696817
RJ,0.2476817006258401,0.2358224515986409,0.169705023415563,0.3355957885175376,0.0111950358424183
RN,0.1863711757166866,0.2438685293928741,0.1337846963189011,0.3595474910612243,0.0764281075103135
RO,0.2104779024542897,0.1544368396697807,0.1330659519398969,0.4026121716162391,0.0994071343197934
RR,0.2225625144339924,0.0269484141405316,0.1911290067131847,0.5203549957151415,0.0390050689971497
RS,0.1648667483066123,0.3527215540629907,0.0822286030726075,0.2836016511252998,0.1165814434324895
SC,0.1640766504253221,0.4250708841011761,0.0570498706968606,0.2348647568952013,0.1189378378814397
SE,0.1505694248646041,0.3760053959540538,0.1492375905111492,0.2905348592386849,0.0336527294315078
SP,0.2011905864494043,0.3966685845833846,0.0861630120732731,0.291184120711876,0.0247936961820617
TO,0.1876980930140804,0.1456850166161651,0.1570638888836877,0.4181650859536503,0.0913879155324163
